n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,15,5.8249,2.13E+00,5.04E+00,3.14E-03,6.95E-01,4.37E-03,M,232,P,232,10
2,1,15,5.825,2.13E+00,6.42E+00,4.04E-01,8.53E-01,1.38E+00,M,234,P,234,11
2,1,15,5.8287,2.13E+00,2.21E+00,3.14E-03,3.05E-01,1.91E-03,M,232,P,234,12
2,1,15,5.8333,2.13E+00,2.53E+00,1.32E+01,1.60E-01,8.48E+00,F,254,P,232,13
2,1,15,5.836,2.12E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,14
2,1,15,5.8371,2.12E+00,4.13E-02,1.32E+01,2.61E-03,1.38E-01,F,254,P,234,15
2,1,15,5.8376,2.12E+00,2.42E+00,1.36E+01,1.51E-01,1.23E+01,F,256,P,234,16
2,1,15,5.8682,2.11E+00,3.13E-05,4.53E-03,2.80E-03,5.06E-05,M,434,P,232,17
2,1,15,5.8699,2.11E+00,5.43E-03,1.39E-04,9.46E-01,2.62E-04,M,432,P,232,18
2,1,15,5.8701,2.11E+00,1.19E-02,6.79E-02,1.49E-01,6.07E-02,M,436,P,234,19
2,1,15,5.8721,2.11E+00,6.62E-03,4.53E-03,5.92E-01,1.07E-02,M,434,P,234,20
2,1,15,5.8738,2.11E+00,1.69E-04,1.39E-04,2.95E-02,8.19E-06,M,432,P,234,21
2,1,15,5.8738,2.11E+00,6.84E-03,1.81E-03,7.91E-01,5.73E-03,K,434,S,212,22
