 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    294 26 22  110   7 3d3(2P3) 5d     -1.08239E+00  4.35744E+00  3.0
    295 26 22  320  16 3d3(2P3) 5d     -1.07377E+00  4.36606E+00 15.0
    296 26 22  130  11 3d3(2P3) 5d     -1.07286E+00  4.36697E+00  7.0
    297 26 22  150   7 3d3(2H3) 5d     -1.06841E+00  4.37142E+00 11.0
    298 26 22  300   3 3d3(2D3) 5d     -1.06469E+00  4.37514E+00  3.0
    299 26 22  330  20 3d3(2P3) 5d     -1.06103E+00  4.37880E+00 21.0
    300 26 22  310  16 3d3(2P3) 5d     -1.05749E+00  4.38234E+00  9.0
    301 26 22  340  12 3d3(2D3) 5d     -1.05739E+00  4.38244E+00 27.0
    302 26 22  110   8 3d3(2D3) 5d     -1.05684E+00  4.38299E+00  3.0
    303 26 22  541   5 3d3(4F3) 6p     -1.05138E+00  4.38845E+00 45.0
    304 26 22  541   6 3d2 4s(4FE) 4p  -1.05052E+00  4.38931E+00 45.0
    305 26 22  531   5 3d2 4s(4FE) 4p  -1.04836E+00  4.39147E+00 35.0
    306 26 22  521   7 3d3(4F3) 6p     -1.04735E+00  4.39248E+00 25.0
    307 26 22  130  12 3d3(2H3) 5d     -1.04613E+00  4.39370E+00  7.0
    308 26 22  531   6 3d3(4F3) 6p     -1.04471E+00  4.39512E+00 35.0
    309 26 22  321  19 3d3(4F3) 6p     -1.04376E+00  4.39607E+00 15.0
    310 26 22  330  21 3d3(2D3) 5d     -1.04040E+00  4.39943E+00 21.0
    311 26 22  341  16 3d3(4F3) 6p     -1.04025E+00  4.39958E+00 27.0
